Description
STREET 
COMMERCIAL / BUSINESS OFFICE 
GROCERY FOOD STORE 
SIDEWALK 
APARTMENT 
RESIDENCE 
GAS STATION 
APPLIANCE STORE 
RESIDENCE PORCH/HALLWAY 
OTHER (SPECIFY) 
COLLEGE/UNIVERSITY GROUNDS 
RESTAURANT 
OTHER 
SMALL RETAIL STORE 
VEHICLE NON-COMMERCIAL 
ALLEY 
ABANDONED BUILDING 
HOTEL/MOTEL 
DEPARTMENT STORE 
CTA TRAIN 
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G.	 UBER	 LYFT)" 
TAXICAB 
CTA BUS 
DRUG STORE 
RESIDENCE-GARAGE 
CONVENIENCE STORE 
PARKING LOT / GARAGE (NON RESIDENTIAL) 
PARKING LOT/GARAGE(NON.RESID.) 
POLICE FACILITY / VEHICLE PARKING LOT 
PARK PROPERTY 
BAR OR TAVERN 
CHA APARTMENT 
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA 
VEHICLE - COMMERCIAL 
ATHLETIC CLUB 
"SCHOOL	 PUBLIC	 GROUNDS" 
GOVERNMENT BUILDING/PROPERTY 
"SCHOOL	 PUBLIC	 BUILDING" 
AUTO / BOAT / RV DEALERSHIP 
POLICE FACILITY/VEH PARKING LOT 
HOSPITAL BUILDING/GROUNDS 
ATM (AUTOMATIC TELLER MACHINE) 
CTA GARAGE / OTHER PROPERTY 
"SCHOOL	 PRIVATE	 GROUNDS" 
COIN OPERATED MACHINE 
CHURCH/SYNAGOGUE/PLACE OF WORSHIP 
RESIDENTIAL YARD (FRONT/BACK) 
CTA PLATFORM 
WAREHOUSE 
CONSTRUCTION SITE 
CTA BUS STOP 
TAVERN/LIQUOR STORE 
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA 
CHA PARKING LOT/GROUNDS 
"SCHOOL	 PRIVATE	 BUILDING" 
BARBERSHOP 
RESIDENCE - PORCH / HALLWAY 
CURRENCY EXCHANGE 
DRIVEWAY - RESIDENTIAL 
CHA HALLWAY / STAIRWELL / ELEVATOR 
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT	 UBER	 ETC.)" 
VACANT LOT / LAND 
RESIDENCE - YARD (FRONT / BACK) 
BANK 
FACTORY / MANUFACTURING BUILDING 
BRIDGE 
RESIDENCE - GARAGE 
HOSPITAL BUILDING / GROUNDS 
SCHOOL - PUBLIC BUILDING 
MOVIE HOUSE / THEATER 
CHA PARKING LOT / GROUNDS 
CTA STATION 
MEDICAL/DENTAL OFFICE 
CHA HALLWAY/STAIRWELL/ELEVATOR 
NURSING HOME/RETIREMENT HOME 
AIRPORT EXTERIOR - NON-SECURE AREA 
FIRE STATION 
ANIMAL HOSPITAL 
OTHER COMMERCIAL TRANSPORTATION 
LIBRARY 
HIGHWAY/EXPRESSWAY 
VACANT LOT/LAND 
NURSING / RETIREMENT HOME 
CLEANING STORE 
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA 
GOVERNMENT BUILDING / PROPERTY 
HOTEL / MOTEL 
CAR WASH 
SCHOOL - PUBLIC GROUNDS 
SCHOOL - PRIVATE BUILDING 
SPORTS ARENA/STADIUM 
AIRPORT VENDING ESTABLISHMENT 
FACTORY/MANUFACTURING BUILDING 
CHURCH / SYNAGOGUE / PLACE OF WORSHIP 
NEWSSTAND 
OTHER RAILROAD PROPERTY / TRAIN DEPOT 
TAVERN / LIQUOR STORE 
AIRPORT BUILDING NON-TERMINAL - SECURE AREA 
AIRPORT EXTERIOR - SECURE AREA 
AIRCRAFT 
MEDICAL / DENTAL OFFICE 
DAY CARE CENTER 
LAKEFRONT / WATERFRONT / RIVERBANK 
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA 
VEHICLE-COMMERCIAL 
POOL ROOM 
MOVIE HOUSE/THEATER 
JAIL / LOCK-UP FACILITY 
OTHER RAILROAD PROP / TRAIN DEPOT 
FEDERAL BUILDING 
PAWN SHOP 
VEHICLE - OTHER RIDE SERVICE 
SAVINGS AND LOAN 
COLLEGE/UNIVERSITY RESIDENCE HALL 
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA 
LAKEFRONT/WATERFRONT/RIVERBANK 
BOWLING ALLEY 
CREDIT UNION 
AIRPORT/AIRCRAFT 
CEMETARY 
AIRPORT TRANSPORTATION SYSTEM (ATS) 
CTA TRACKS - RIGHT OF WAY 
VEHICLE - DELIVERY TRUCK 
AIRPORT PARKING LOT 
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA 
CTA PARKING LOT / GARAGE / OTHER PROPERTY 
FOREST PRESERVE 
BOAT/WATERCRAFT 
SPORTS ARENA / STADIUM 
VEHICLE-COMMERCIAL - TROLLEY BUS 
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS 
HORSE STABLE 
FARM 
COLLEGE / UNIVERSITY - GROUNDS 
SCHOOL - PRIVATE GROUNDS 
COLLEGE / UNIVERSITY - RESIDENCE HALL 
KENNEL 
HIGHWAY / EXPRESSWAY 
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS 
HOUSE 
BARBER SHOP/BEAUTY SALON 
PARKING LOT 
YARD 
PUBLIC GRAMMAR SCHOOL 
BOAT / WATERCRAFT 
AUTO 
PORCH 
HOSPITAL 
VEHICLE - COMMERCIAL: TROLLEY BUS 
ELEVATOR 
GAS STATION DRIVE/PROP. 
RETAIL STORE 
GARAGE 
VACANT LOT 
MOTEL 
RAILROAD PROPERTY 
CTA PROPERTY 
VESTIBULE 
CHA GROUNDS 
TRUCK 
CHA PARKING LOT 
HALLWAY 
HOTEL 
STAIRWELL 
OFFICE 
CTA "L" TRAIN 
SCHOOL YARD 
CHA LOBBY 
GANGWAY 
RIVER BANK 
DRIVEWAY 
TAVERN 
CLUB 
LIQUOR STORE 
CTA SUBWAY STATION 
CHA PLAY LOT 
ROOMING HOUSE 
BASEMENT 
WOODED AREA 
CHA ELEVATOR 
GOVERNMENT BUILDING 
CHURCH 
GARAGE/AUTO REPAIR 
NURSING HOME 
CTA "L" PLATFORM 
CHA HALLWAY 
TRAILER 
BANQUET HALL 
YMCA 
LAKE 
POLICE FACILITY
